episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,69,reorder-reduce-transpose,0.0,308.084,0.0,0.0
1,2,45,float-normalization-bf16,0.0,308.084,0.0,0.0
1,3,7,all-reduce-combiner,0.0,308.084,0.0,0.0
1,4,18,collective-quantizer,0.0,308.084,0.0,0.0
1,5,49,hlo-descheduler,0.0,308.084,0.0,0.0
1,6,60,logistic-expander,0.0,308.084,0.0,0.0
1,7,9,all-reduce-folder,0.0,308.084,0.0,0.0
1,8,88,while-loop-trip-count-annotator,0.0,308.084,0.0,0.0
1,9,49,hlo-descheduler,0.0,308.084,0.0,0.0
1,10,21,comparison-expander,0.0,308.084,0.0,0.0
2,1,36,despecializer,0.0,308.084,0.0,0.0
2,2,10,ar-crs-combiner,0.0,308.084,0.0,0.0
2,3,61,memory-space-propagation,0.0,308.084,0.0,0.0
2,4,54,host-offloader,0.0,308.084,0.0,0.0
2,5,30,convolution-group-converter,0.0,308.084,0.0,0.0
2,6,38,dot_decomposer,0.0,308.084,0.0,0.0
2,7,64,qr_expander,0.0,308.084,0.0,0.0
2,8,68,reorder-convert-reduce-add,0.0,308.084,0.0,0.0
2,9,10,ar-crs-combiner,0.0,308.084,0.0,0.0
2,10,76,simplify-fp-conversions,0.0,308.084,0.0,0.0
3,1,31,convolution-pred-expander,0.0,308.084,0.0,0.0
3,2,19,collective-transformation-reorderer,0.0,308.084,0.0,0.0
3,3,22,computation-deduplicator,0.0,308.084,0.0,0.0
3,4,83,test-only-bar2hello,0.0,308.084,0.0,0.0
3,5,69,reorder-reduce-transpose,0.0,308.084,0.0,0.0
3,6,70,reshape-decomposer,0.0,308.084,0.0,0.0
3,7,66,reduce-decomposer,0.0,308.084,0.0,0.0
3,8,32,convolution_4d_expander,0.0,308.084,0.0,0.0
3,9,48,hlo-constant-splitter,0.0,308.084,0.0,0.0
3,10,68,reorder-convert-reduce-add,0.0,308.084,0.0,0.0
4,1,76,simplify-fp-conversions,0.0,308.084,0.0,0.0
4,2,46,fusion_constant_sinking,0.0,308.084,0.0,0.0
4,3,55,host-offloading-prepare-elide-move-to-host,0.0,308.084,0.0,0.0
4,4,82,test-only-algebraic-simplifier-with-onednn-enabled,0.0,308.084,0.0,0.0
4,5,66,reduce-decomposer,0.0,308.084,0.0,0.0
4,6,42,eigh_expander,0.0,308.084,0.0,0.0
4,7,17,cholesky_expander,0.0,308.084,0.0,0.0
4,8,82,test-only-algebraic-simplifier-with-onednn-enabled,0.0,308.084,0.0,0.0
4,9,38,dot_decomposer,0.0,308.084,0.0,0.0
4,10,75,root-instruction-sinker,0.0,308.084,0.0,0.0
5,1,11,async-collective-creator,0.0,308.084,0.0,0.0
5,2,32,convolution_4d_expander,0.0,308.084,0.0,0.0
5,3,53,host-offload-legalize,0.0,308.084,0.0,0.0
5,4,37,dot-merger,0.0,308.084,0.0,0.0
5,5,57,infeed-token-propagation,0.0,308.084,0.0,0.0
5,6,47,gather_simplifier,0.0,308.084,0.0,0.0
5,7,19,collective-transformation-reorderer,0.0,308.084,0.0,0.0
5,8,54,host-offloader,0.0,308.084,0.0,0.0
5,9,42,eigh_expander,0.0,308.084,0.0,0.0
5,10,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,308.084,0.0,0.0
6,1,8,all-reduce-contiguous,0.0,308.084,0.0,0.0
6,2,22,computation-deduplicator,0.0,308.084,0.0,0.0
6,3,6,all-gather-cse,0.0,308.084,0.0,0.0
6,4,8,all-reduce-contiguous,0.0,308.084,0.0,0.0
6,5,44,flatten-call-graph,0.0,308.084,0.0,0.0
6,6,13,bf16-mixed-precision-removal,0.0,308.084,0.0,0.0
6,7,81,sub-byte-size-setter,0.0,308.084,0.0,0.0
6,8,73,rng-bit-generator-expander,0.0,308.084,0.0,0.0
6,9,16,broadcast_canonicalizer,0.0,308.084,0.0,0.0
6,10,24,constant_folding,0.0,308.084,0.0,0.0
7,1,86,tree_reduction_rewriter,0.0,308.084,0.0,0.0
