step,cost,cost_reduction,percent_reduction
0,287.08,0.0,0.0
1,287.08,0.0,0.0
2,287.08,0.0,0.0
3,287.08,0.0,0.0
4,287.08,0.0,0.0
5,287.08,0.0,0.0
6,287.08,0.0,0.0
7,287.08,0.0,0.0
8,287.08,0.0,0.0
9,287.08,0.0,0.0
10,287.08,0.0,0.0
11,287.08,0.0,0.0
12,287.08,0.0,0.0
13,287.08,0.0,0.0
14,287.08,0.0,0.0
15,287.08,0.0,0.0
16,287.08,0.0,0.0
17,287.08,0.0,0.0
18,287.08,0.0,0.0
19,287.08,0.0,0.0
20,287.08,0.0,0.0
21,287.08,0.0,0.0
22,287.08,0.0,0.0
23,287.08,0.0,0.0
24,287.08,0.0,0.0
25,287.08,0.0,0.0
26,287.08,0.0,0.0
27,287.08,0.0,0.0
28,287.08,0.0,0.0
29,287.08,0.0,0.0
30,287.08,0.0,0.0
