episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,73,rng-bit-generator-expander,0.0,287.08,0.0,0.0
1,2,44,flatten-call-graph,0.0,287.08,0.0,0.0
1,3,77,simplify-sorts,0.0,287.08,0.0,0.0
1,4,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,287.08,0.0,0.0
1,5,56,indexed-array-analysis-printer-pass,0.0,287.08,0.0,0.0
1,6,42,eigh_expander,0.0,287.08,0.0,0.0
1,7,75,root-instruction-sinker,0.0,287.08,0.0,0.0
1,8,57,infeed-token-propagation,0.0,287.08,0.0,0.0
1,9,59,literal-canonicalizer,0.0,287.08,0.0,0.0
1,10,60,logistic-expander,0.0,287.08,0.0,0.0
1,11,27,convert-memory-placement-to-internal-annotations,0.0,287.08,0.0,0.0
1,12,45,float-normalization-bf16,0.0,287.08,0.0,0.0
1,13,55,host-offloading-prepare-elide-move-to-host,0.0,287.08,0.0,0.0
1,14,58,instruction-hoister,0.0,287.08,0.0,0.0
1,15,31,convolution-pred-expander,0.0,287.08,0.0,0.0
1,16,78,slice-sinker,0.0,287.08,0.0,0.0
1,17,63,optimize_input_output_buffer_alias,0.0,287.08,0.0,0.0
1,18,46,fusion_constant_sinking,0.0,287.08,0.0,0.0
1,19,32,convolution_4d_expander,0.0,287.08,0.0,0.0
1,20,40,dynamic-dimension-simplifier,0.0,287.08,0.0,0.0
1,21,89,zero_sized_hlo_elimination,0.0,287.08,0.0,0.0
1,22,88,while-loop-trip-count-annotator,0.0,287.08,0.0,0.0
1,23,56,indexed-array-analysis-printer-pass,0.0,287.08,0.0,0.0
1,24,4,all-gather-bcast-reorder,0.0,287.08,0.0,0.0
1,25,86,tree_reduction_rewriter,0.0,287.08,0.0,0.0
1,26,34,dce,0.0,287.08,0.0,0.0
1,27,11,async-collective-creator,0.0,287.08,0.0,0.0
1,28,77,simplify-sorts,0.0,287.08,0.0,0.0
1,29,43,element_type_converter,0.0,287.08,0.0,0.0
1,30,77,simplify-sorts,0.0,287.08,0.0,0.0
