episode,total_reward,initial_cost,final_cost,cost_reduction,percent_reduction,exploration_rate,unique_actions,steps_taken,action_sequence
1,0.0,287.08,287.08,0.0,0.0,0.995,27,30,"73,44,77,0,56,42,75,57,59,60,27,45,55,58,31,78,63,46,32,40,89,88,56,4,86,34,11,77,43,77"
2,0.0,287.08,287.08,0.0,0.0,0.990025,27,30,"32,18,59,89,39,31,9,86,35,64,32,30,18,48,7,62,44,24,80,68,22,34,41,16,67,72,33,55,34,46"
3,0.0,287.08,287.08,0.0,0.0,0.985074875,27,30,"77,36,37,61,73,62,39,51,87,0,3,63,80,53,20,11,28,56,26,85,71,33,47,82,66,24,33,54,3,37"
4,0.0,287.08,287.08,0.0,0.0,0.9801495006250001,27,30,"66,17,83,82,86,4,13,71,62,85,47,4,14,72,33,17,59,12,6,42,18,68,56,21,49,49,81,1,11,32"
5,0.0,287.08,287.08,0.0,0.0,0.9752487531218751,27,30,"70,20,82,59,26,27,75,3,12,71,9,79,80,6,85,55,54,78,21,17,71,13,14,48,36,38,30,85,36,2"
6,0.0,287.08,287.08,0.0,0.0,0.9703725093562657,27,30,"10,5,50,57,37,88,7,18,69,66,78,23,41,30,68,68,12,43,15,45,73,22,53,26,64,9,15,20,64,89"
7,0.0,287.08,287.08,0.0,0.0,0.9655206468094844,26,30,"47,29,41,55,27,41,51,39,50,29,56,17,4,75,31,5,12,36,40,8,66,79,83,38,28,41,17,3,11,0"
8,0.0,287.08,287.08,0.0,0.0,0.960693043575437,28,30,"21,14,18,47,55,10,80,15,22,42,52,89,83,58,49,53,1,65,60,89,28,17,76,15,12,62,20,88,7,8"
9,0.0,287.08,287.08,0.0,0.0,0.9558895783575597,25,30,"40,76,47,12,88,62,32,10,38,58,68,0,28,49,31,52,48,4,26,73,71,70,58,68,0,75,62,80,73,15"
10,0.0,287.08,287.08,0.0,0.0,0.9511101304657719,25,30,"42,30,31,50,69,38,60,41,36,39,3,0,45,83,30,19,27,14,29,67,29,85,25,8,57,27,56,14,31,37"
