episode,total_reward,initial_cost,final_cost,cost_reduction,percent_reduction,exploration_rate,unique_actions,steps_taken,action_sequence
1,0.0,308.084,308.084,0.0,0.0,0.995,24,30,"3,40,79,57,1,43,33,1,14,62,53,55,84,7,23,6,57,16,20,39,1,6,41,84,11,49,26,8,58,49"
2,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.990025,24,30,"7,84,27,14,62,35,1,27,52,34,50,56,59,73,74,10,43,85,56,26,45,61,19,35,55,27,26,16,84,64"
3,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.985074875,25,30,"44,77,13,51,73,56,77,39,48,29,24,13,70,49,82,37,60,10,12,20,77,84,55,45,12,61,20,66,1,19"
4,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9801495006250001,26,30,"66,39,2,5,12,31,83,53,56,55,49,60,71,34,15,52,27,0,71,88,32,24,27,34,82,22,88,67,68,10"
5,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9752487531218751,21,30,"40,71,80,81,26,76,58,86,64,64,15,4,49,49,72,12,26,72,33,18,35,60,18,24,18,33,24,43,26,87"
6,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9703725093562657,23,30,"29,0,31,55,30,15,13,52,27,43,8,66,69,85,15,13,18,14,9,66,49,67,71,33,10,30,0,0,42,55"
7,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9655206468094844,26,30,"89,46,86,24,82,1,14,59,32,82,15,27,21,39,78,64,19,16,0,16,53,29,8,64,28,56,29,73,58,87"
8,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.960693043575437,24,30,"7,18,78,15,24,67,2,78,12,80,45,84,74,81,2,53,52,0,0,41,26,60,89,31,88,34,0,69,41,0"
9,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9558895783575597,26,30,"63,23,89,45,30,19,67,33,28,13,78,24,86,25,55,10,5,64,0,83,16,82,89,12,25,20,16,36,84,0"
10,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9511101304657719,25,30,"45,16,4,61,40,28,74,17,41,68,75,30,5,4,87,64,42,87,77,14,67,23,74,3,59,16,66,17,36,60"
