file_name,final_exploration_rate,best_reward,best_percent_reduction,most_used_pass,unique_passes_in_best,best_episode_number
euler_1747435907207.hlo,0.985074875,0.0,0.0,eigh_expander,3,1
euler_solver_simplified_with_static_num_steps.hlo,0.9703725093562656,0.0,0.0,algsimp,3,1
test_algebraic_simplifier_7.hlo,0.9558895783575596,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_11.hlo,0.9416228069143756,0.0,0.0,bfloat16-propagation,3,1
test_algebraic_simplifier_10.hlo,0.9275689688183278,0.0,0.0,reshape-decomposer,3,1
test_algebraic_simplifier_6.hlo,0.9137248860125932,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
test_algebraic_simplifier_4.hlo,0.9000874278732445,0.0,0.0,despecializer,3,1
test_algebraic_simplifier_12.hlo,0.8866535105013078,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_5.hlo,0.8734200960253871,0.0,0.0,hlo-descheduler,3,1
test_algebraic_simplifier_17.hlo,0.8603841919146962,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
test_algebraic_simplifier_1.hlo,0.8475428503023453,42.063999999999965,7.681687692206543,ReduceWindowToReduceAndBroadcast,3,3
test_algebraic_simplifier_16.hlo,0.8348931673187264,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_14.hlo,0.8224322824348486,0.0,0.0,fusion_constant_sinking,3,1
test_algebraic_simplifier_28.hlo,0.810157377815473,0.0,0.0,dot_decomposer,3,1
test_algebraic_simplifier_2.hlo,0.798065677681905,0.0,0.0,qr_expander,2,1
test_algebraic_simplifier_3.hlo,0.7861544476842928,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_29.hlo,0.7744209942832988,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_15.hlo,0.7628626641409962,0.0,0.0,constant_folding,2,1
test_algebraic_simplifier_18.hlo,0.7514768435208588,-714.3759999999999,-135.6509718435024,algsimp,3,1
test_algebraic_simplifier_30.hlo,0.7402609576967045,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_24.hlo,0.7292124703704616,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
capm_expected_return.hlo,0.7183288830986236,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_25.hlo,0.7076077347272662,0.0,0.0,all-gather-combiner,3,1
test_algebraic_simplifier_19.hlo,0.697046600835495,0.0,0.0,bf16-mixed-precision-removal,2,1
mean_variance_portfolio_optimization.hlo,0.6866430931872001,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_26.hlo,0.6763948591909945,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
linear_regression_update_with_grad.hlo,0.6662995813682115,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
kelly_criterion.hlo,0.6563549768288433,0.0,0.0,hlo-memory-scheduler,3,1
test_algebraic_simplifier_22.hlo,0.6465587967553006,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_8.hlo,0.6369088258938781,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_9.hlo,0.6274028820538087,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
test_algebraic_simplifier_23.hlo,0.6180388156137953,-630.18,-157.40333699670293,AssumeGatherIndicesInBoundRewriteToCopy,3,1
monte_carlo_call_option_price.hlo,0.6088145090359074,0.0,0.0,convert-memory-placement-to-internal-annotations,3,1
test_algebraic_simplifier_21.hlo,0.5997278763867329,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
geometric_brownian_motion_path_simulation.hlo,0.5907768628656763,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_20.hlo,0.5819594443402982,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
value_at_risk_var.hlo,0.5732736268885887,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
sigmoid_function.hlo,0.5647174463480732,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
exponential_moving_average.hlo,0.5562889678716474,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
