step,cost,cost_reduction,percent_reduction
0,126.024,0.0,0.0
1,126.024,0.0,0.0
2,126.024,0.0,0.0
3,126.024,0.0,0.0
4,126.024,0.0,0.0
5,126.024,0.0,0.0
6,126.024,0.0,0.0
7,126.024,0.0,0.0
8,126.024,0.0,0.0
9,126.024,0.0,0.0
10,126.024,0.0,0.0
11,126.024,0.0,0.0
12,126.024,0.0,0.0
13,126.024,0.0,0.0
14,126.024,0.0,0.0
15,126.024,0.0,0.0
16,126.024,0.0,0.0
17,126.024,0.0,0.0
18,126.024,0.0,0.0
19,126.024,0.0,0.0
20,126.024,0.0,0.0
21,126.024,0.0,0.0
22,126.024,0.0,0.0
23,126.024,0.0,0.0
24,126.024,0.0,0.0
25,126.024,0.0,0.0
26,126.024,0.0,0.0
27,126.024,0.0,0.0
28,126.024,0.0,0.0
29,126.024,0.0,0.0
30,126.024,0.0,0.0
