step,cost,cost_reduction,percent_reduction
0,474.28,0.0,0.0
1,474.28,0.0,0.0
2,474.28,0.0,0.0
3,474.28,0.0,0.0
4,474.28,0.0,0.0
5,474.28,0.0,0.0
6,474.28,0.0,0.0
7,474.28,0.0,0.0
8,474.28,0.0,0.0
9,474.28,0.0,0.0
10,474.28,0.0,0.0
11,474.28,0.0,0.0
12,474.28,0.0,0.0
13,474.28,0.0,0.0
14,474.28,0.0,0.0
15,474.28,0.0,0.0
16,474.28,0.0,0.0
17,474.28,0.0,0.0
18,474.28,0.0,0.0
19,474.28,0.0,0.0
20,474.28,0.0,0.0
21,474.28,0.0,0.0
22,474.28,0.0,0.0
23,474.28,0.0,0.0
24,474.28,0.0,0.0
25,474.28,0.0,0.0
26,474.28,0.0,0.0
27,474.28,0.0,0.0
28,474.28,0.0,0.0
29,474.28,0.0,0.0
30,474.28,0.0,0.0
