step,cost,cost_reduction,percent_reduction
0,5451.132,0.0,0.0
1,5451.132,0.0,0.0
2,5451.132,0.0,0.0
3,5451.132,0.0,0.0
4,5451.132,0.0,0.0
5,5451.132,0.0,0.0
6,5451.132,0.0,0.0
7,5451.132,0.0,0.0
8,5451.132,0.0,0.0
9,5451.132,0.0,0.0
10,5451.132,0.0,0.0
11,5451.132,0.0,0.0
12,5451.132,0.0,0.0
13,5311.08,140.05199999999968,2.5692278227714844
14,5311.08,140.05199999999968,2.5692278227714844
15,5311.08,140.05199999999968,2.5692278227714844
16,5311.08,140.05199999999968,2.5692278227714844
17,5311.08,140.05199999999968,2.5692278227714844
18,5311.08,140.05199999999968,2.5692278227714844
19,5311.08,140.05199999999968,2.5692278227714844
20,5311.08,140.05199999999968,2.5692278227714844
21,5311.08,140.05199999999968,2.5692278227714844
22,5311.08,140.05199999999968,2.5692278227714844
23,5311.08,140.05199999999968,2.5692278227714844
24,5311.08,140.05199999999968,2.5692278227714844
25,5311.08,140.05199999999968,2.5692278227714844
26,5311.08,140.05199999999968,2.5692278227714844
27,5311.08,140.05199999999968,2.5692278227714844
28,5311.08,140.05199999999968,2.5692278227714844
29,5311.08,140.05199999999968,2.5692278227714844
30,5311.08,140.05199999999968,2.5692278227714844
