step,cost,cost_reduction,percent_reduction
0,168.032,0.0,0.0
1,168.032,0.0,0.0
2,168.032,0.0,0.0
3,168.032,0.0,0.0
4,168.032,0.0,0.0
5,168.032,0.0,0.0
6,168.032,0.0,0.0
7,168.032,0.0,0.0
8,168.032,0.0,0.0
9,168.032,0.0,0.0
10,168.032,0.0,0.0
11,168.032,0.0,0.0
12,168.032,0.0,0.0
13,168.032,0.0,0.0
14,168.032,0.0,0.0
15,168.032,0.0,0.0
16,168.032,0.0,0.0
17,168.032,0.0,0.0
18,168.032,0.0,0.0
19,168.032,0.0,0.0
20,168.032,0.0,0.0
21,168.032,0.0,0.0
22,168.032,0.0,0.0
23,168.032,0.0,0.0
24,168.032,0.0,0.0
25,168.032,0.0,0.0
26,168.032,0.0,0.0
27,168.032,0.0,0.0
28,168.032,0.0,0.0
29,168.032,0.0,0.0
30,168.032,0.0,0.0
