step,cost,cost_reduction,percent_reduction
0,564.316,0.0,0.0
1,564.316,0.0,0.0
2,564.316,0.0,0.0
3,564.316,0.0,0.0
4,564.316,0.0,0.0
5,564.316,0.0,0.0
6,564.316,0.0,0.0
7,564.316,0.0,0.0
8,564.316,0.0,0.0
9,564.316,0.0,0.0
10,564.316,0.0,0.0
11,564.316,0.0,0.0
12,564.316,0.0,0.0
13,564.316,0.0,0.0
14,564.316,0.0,0.0
15,564.316,0.0,0.0
16,564.316,0.0,0.0
17,564.316,0.0,0.0
18,564.316,0.0,0.0
19,564.316,0.0,0.0
20,564.316,0.0,0.0
21,564.316,0.0,0.0
22,564.316,0.0,0.0
23,564.316,0.0,0.0
24,564.316,0.0,0.0
25,564.316,0.0,0.0
26,564.316,0.0,0.0
27,564.316,0.0,0.0
28,564.316,0.0,0.0
29,564.316,0.0,0.0
30,564.316,0.0,0.0
