step,cost,cost_reduction,percent_reduction
0,2398.619,0.0,0.0
1,2398.619,0.0,0.0
2,2398.619,0.0,0.0
3,2398.619,0.0,0.0
4,2398.619,0.0,0.0
5,2398.619,0.0,0.0
6,2398.619,0.0,0.0
7,2398.619,0.0,0.0
8,2398.619,0.0,0.0
9,2398.619,0.0,0.0
10,2398.619,0.0,0.0
11,2398.619,0.0,0.0
12,2398.619,0.0,0.0
13,2398.619,0.0,0.0
14,2398.619,0.0,0.0
15,2398.619,0.0,0.0
16,2398.619,0.0,0.0
17,2398.619,0.0,0.0
18,2398.619,0.0,0.0
19,2398.619,0.0,0.0
20,2398.619,0.0,0.0
21,2398.619,0.0,0.0
22,2398.619,0.0,0.0
23,2398.619,0.0,0.0
24,2398.619,0.0,0.0
25,2398.619,0.0,0.0
26,2398.619,0.0,0.0
27,2398.619,0.0,0.0
28,2398.619,0.0,0.0
29,2398.619,0.0,0.0
30,2398.619,0.0,0.0
