step,cost,cost_reduction,percent_reduction
0,147.124,0.0,0.0
1,147.124,0.0,0.0
2,147.124,0.0,0.0
3,147.124,0.0,0.0
4,147.124,0.0,0.0
5,147.124,0.0,0.0
6,147.124,0.0,0.0
7,147.124,0.0,0.0
8,147.124,0.0,0.0
9,147.124,0.0,0.0
10,147.124,0.0,0.0
11,147.124,0.0,0.0
12,147.124,0.0,0.0
13,147.124,0.0,0.0
14,147.124,0.0,0.0
15,147.124,0.0,0.0
16,147.124,0.0,0.0
17,147.124,0.0,0.0
18,147.124,0.0,0.0
19,147.124,0.0,0.0
20,147.124,0.0,0.0
21,147.124,0.0,0.0
22,147.124,0.0,0.0
23,147.124,0.0,0.0
24,147.124,0.0,0.0
25,147.124,0.0,0.0
26,147.124,0.0,0.0
27,147.124,0.0,0.0
28,147.124,0.0,0.0
29,147.124,0.0,0.0
30,147.124,0.0,0.0
