step,cost,cost_reduction,percent_reduction
0,1096.142,0.0,0.0
1,1096.142,0.0,0.0
2,1096.142,0.0,0.0
3,1096.142,0.0,0.0
4,1096.142,0.0,0.0
5,1096.142,0.0,0.0
6,1096.142,0.0,0.0
7,1096.142,0.0,0.0
8,1096.142,0.0,0.0
9,1096.142,0.0,0.0
10,1096.142,0.0,0.0
11,1096.142,0.0,0.0
12,1096.142,0.0,0.0
13,1096.142,0.0,0.0
14,1096.142,0.0,0.0
15,1096.142,0.0,0.0
16,1096.142,0.0,0.0
17,1096.142,0.0,0.0
18,1096.142,0.0,0.0
19,1096.142,0.0,0.0
20,1096.142,0.0,0.0
21,1096.142,0.0,0.0
22,1096.142,0.0,0.0
23,1096.142,0.0,0.0
24,1096.142,0.0,0.0
25,1096.142,0.0,0.0
26,1096.142,0.0,0.0
27,1096.142,0.0,0.0
28,1096.142,0.0,0.0
29,1096.142,0.0,0.0
30,1096.142,0.0,0.0
