episode,total_reward,initial_cost,final_cost,cost_reduction,percent_reduction,exploration_rate,unique_actions,steps_taken,action_sequence
1,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,0.0,1096.142,1096.142,0.0,0.0,0.01,2,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0"
7,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,0.0,1096.142,1096.142,0.0,0.0,0.01,2,30,"0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,0.0,1096.142,1096.142,0.0,0.0,0.01,2,30,"0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
11,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,0.0,1096.142,1096.142,0.0,0.0,0.01,3,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,32,0,0,0,0,0"
14,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,0.0,1096.142,1096.142,0.0,0.0,0.01,2,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0"
17,0.0,1096.142,1096.142,0.0,0.0,0.01,2,30,"0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
18,0.0,1096.142,1096.142,0.0,0.0,0.01,1,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
19,-581.269,1096.142,1677.411,-581.269,-53.0286222040575,0.01,4,30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,5,0,0,0,0,0,0,0,0,0,0,0,79,0"
20,-581.269,1096.142,1677.411,-581.269,-53.0286222040575,0.01,2,30,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
21,-581.269,1096.142,1677.411,-581.269,-53.0286222040575,0.01,3,30,"1,2,2,89,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
22,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,2,30,"2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
23,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,2,30,"3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4"
24,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,2,30,"4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"
25,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,3,30,"5,6,6,6,6,6,6,6,6,6,6,6,6,45,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6"
26,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,2,30,"6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7"
27,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,2,30,"7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8"
28,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,3,30,"8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16,9,9"
29,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,2,30,"9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10"
30,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,2,30,"10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11"
31,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,2,30,"11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12"
32,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,3,30,"12,13,22,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13"
33,-561.268,1096.142,1657.41,-561.268,-51.20394985321245,0.01,3,30,"13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,70,14,14,14,14,14,14,14,14,14,14,14"
34,-301.231,1096.142,1397.373,-301.231,-27.48101979488059,0.01,2,30,"14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15"
35,-301.231,1096.142,1397.373,-301.231,-27.48101979488059,0.01,3,30,"15,16,16,16,16,16,16,16,16,16,16,78,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16"
36,-301.231,1096.142,1397.373,-301.231,-27.48101979488059,0.01,2,30,"16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17"
37,-301.231,1096.142,1397.373,-301.231,-27.48101979488059,0.01,4,30,"17,42,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22,18,18,18,18,18,18"
38,-301.231,1096.142,1397.373,-301.231,-27.48101979488059,0.01,3,30,"18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,41,19,19,19,19,19,19,19,19,19,19,19"
39,-301.231,1096.142,1397.373,-301.231,-27.48101979488059,0.01,2,30,"19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20"
